IR64 Control,,OsEPF1oeW,,OsEPF1oeS,
X,Y,X,Y,X,Y
28,0.09368040253116305,28,-1.2337532257874955,28,0.09368040253116305
29.006657789613847,56.036788706503444,28.99733688415446,24.17661407209266,28.99733688415446,24.17661407209266
30.00399467376831,115.96043034066679,29.99467376830892,72.15335305138876,30.00399467376831,72.15512060615356
31.00133155792277,171.90177108987422,31.00133155792277,104.20265604562655,31.00133155792277,110.83982418721939
31.998668442077232,227.84311183908176,31.998668442077232,136.25019148509955,31.998668442077232,142.8873596266924
32.99600532623169,306.3508242697053,32.99600532623169,176.26232869448404,32.99600532623169,172.2800278095283
34.002663115845536,400.78950779491646,34.002663115845536,240.17003876836782,34.002663115845536,238.84260514004927
34.99067909454061,499.206957095554,34.99067909454061,286.8175765645805,35,306.73084854412406
