Stomagen,,epfl10,,Wild Type,
X,Y,X,Y,X,Y
48.510865455192516,0.0679029782690897,51.66929869436592,0.04756667185658048,52.00293600836312,0.03485509019328725
100.26913409995768,0.09591294290353441,103.80568962832808,0.06117017727262625,104.13932694232528,0.04845859560933302
202.02851486910288,0.11888053559910144,202.54009208389857,0.09938944371538519,202.87372939789577,0.08667786205209196
301.2300095642697,0.1393035877132499,301.69710180386573,0.12150737338463938,304.5886251918413,0.1113403323027648
500.32251607019725,0.15387908983740747,499.36608910340533,0.19031895727218137,499.2771191530061,0.1937087123823929
752.2186881380813,0.15663493405102433,750.594986543295,0.21849796481238468,748.0371004693164,0.21595342423096603
996.2855045708312,0.15768922796325546,999.6441201984029,0.22972597255277033,997.1084766120242,0.22633399319379882
1198.4029893903335,0.15701305634022114,1198.914566605129,0.23752196445650486,1199.136991481127,0.22904757668097603
1500.1668186569982,0.15981116128027764,1497.7423875086188,0.25218198803354175,1498.2317222358147,0.23353833492737835
1998.5764807936116,0.17040303387530864,1998.7989056696101,0.26192864609977984,1998.9768455704088,0.2551491358793568
