Stomagen,,Allele 1,,Allele 2,,Allele 3,,Allele 4,,Wild Type,,Allele 5,,Allele 6,
Label,Y,Label,Y,Label,Y,Label,Y,Label,Y,Label,Y,Label,Y,Label,Y
,0.12075134168157418,,0.08318425760286224,,0.10822898032200355,,0.12969588550983896,,0.09391771019677987,,0.14847942754919494,,0.11001788908765647,,0.11001788908765647
,0.12701252236135951,,0.10822898032200355,,0.1502683363148479,,0.17710196779964218,,0.16457960644007152,,0.17084078711985684,,0.12343470483005357,,0.13506261180679782
,0.127906976744186,,0.1457960644007155,,0.17173524150268332,,0.1753130590339892,,0.17620751341681565,,0.17084078711985684,,0.11270125223613595,,0.1305903398926654
,0.1493738819320214,,0.15563506261180676,,0.20214669051878348,,0.18157423971377454,,0.2343470483005366,,0.18246869409660102,,0.20214669051878348,,0.14847942754919494
,0.163685152057245,,0.1779964221824686,,0.20572450805008938,,0.23703041144901604,,0.22987477638640424,,0.22629695885509832,,0.21914132379248652,,0.1967799642218246
,0.18604651162790695,,0.2164579606440071,,0.22629695885509832,,0.27728085867620744,,0.22987477638640424,,0.24060822898032194,,0.2540250447227191,,0.24865831842576025
,0.20304114490160993,,0.23255813953488363,,0.2710196779964221,,0.32737030411449003,,0.2853309481216457,,0.24329159212880136,,0.3515205724508049,,0.24865831842576025
,0.18783542039355985,,0.26207513416815736,,0.32200357781753125,,,,,,0.28443649373881924,,0.38998211091234336,,0.3720930232558139
