Stomagen,,epfl10,,Wild Type,
X,Y,X,Y,X,Y
54.96045552103658,2.2123837431519995,52.23595362466574,1.8147338710467835,52.1967521585309,1.701098621088434
104.9619255760166,4.6541450650254355,104.60911238080314,3.6314278154003006,104.43270578319641,3.1200691905877314
207.08174485725783,8.173971206523126,204.04363123180815,6.8672393347511225,203.8868253672689,6.41269833491773
306.2810549114538,10.727971226123861,305.84983878397065,9.477983476582027,305.6146299871616,8.796171976831937
506.32613659750893,13.10865176357596,506.384938796711,13.279104638513482,509.01143702774505,13.392666385722828
757.5879337887237,13.9537863716103,757.9407469839372,14.976503621235436,757.8231425855328,14.63559787136039
1006.0272254182308,14.117182982643552,1003.8907455138823,15.424061859913563,1006.4388408126466,15.310353107206211
1207.9539774787577,14.452355518096379,1205.8959005066795,15.986504895283087,1208.247988474769,15.304619892783993
1508.001999274773,14.216558699295359,1508.7076256651999,16.26199319854563,1508.6684241990652,16.14835794858728
2007.5854836970907,14.884184168487906,2000.6468241912253,17.27074492586023,2005.743014788753,17.04332742044553
